( puppetry_emphasis_S_0 "James baked the cake." )
( puppetry_emphasis_S_1 "Holly brought the blondies." )
( puppetry_emphasis_S_2 "Susan brought the brownies." )
( puppetry_emphasis_S_3 "Lily ate the blondies." )
( puppetry_emphasis_S_4 "Lily baked the cupcakes." )
( puppetry_emphasis_S_5 "Susan brought the cupcakes." )
( puppetry_emphasis_S_6 "Sarah baked the cupcakes." )
( puppetry_emphasis_S_7 "John baked the blondies." )
( puppetry_emphasis_S_8 "James baked the blondies." )
( puppetry_emphasis_S_9 "John baked the cookies." )
( puppetry_emphasis_S_10 "Sarah brought the cookies." )
( puppetry_emphasis_S_11 "Holly brought the cupcakes." )
( puppetry_emphasis_S_12 "Susan ate the cupcakes." )
( puppetry_emphasis_S_13 "Mary ate the cookies." )
( puppetry_emphasis_S_14 "Sarah ate the cupcakes." )
( puppetry_emphasis_S_15 "Holly baked the cookies." )
( puppetry_emphasis_S_16 "Sarah brought the cupcakes." )
( puppetry_emphasis_S_17 "Mary baked the cake." )
( puppetry_emphasis_S_18 "John ate the cake." )
( puppetry_emphasis_S_19 "James ate the cookies." )
( puppetry_emphasis_S_20 "Lily baked the brownies." )
( puppetry_emphasis_S_21 "James ate the blondies." )
( puppetry_emphasis_S_22 "John ate the blondies." )
( puppetry_emphasis_S_23 "Lily brought the cupcakes." )
( puppetry_emphasis_S_24 "Holly baked the brownies." )
( puppetry_emphasis_S_25 "Sarah baked the cake." )
( puppetry_emphasis_S_26 "John baked the cake." )
( puppetry_emphasis_S_27 "Sarah ate the cake." )
( puppetry_emphasis_S_28 "Mary brought the cookies." )
( puppetry_emphasis_S_29 "Lily brought the blondies." )
( puppetry_emphasis_S_30 "Sarah brought the blondies." )
( puppetry_emphasis_S_31 "Holly brought the cookies." )
( puppetry_emphasis_S_32 "John baked the brownies." )
( puppetry_emphasis_S_33 "Holly baked the blondies." )
( puppetry_emphasis_S_34 "Holly ate the blondies." )
( puppetry_emphasis_S_35 "Sarah brought the brownies." )
( puppetry_emphasis_S_36 "Mary brought the cupcakes." )
